Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,16.296873412366637,,,,,,,,,,,,,,,
