Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,,,,,,,,,,,,15,,,
02:15:00.000+05:30,02:30:00.000+05:30,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,,,,,,,,,,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,,,,,,,,,,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,,,,,,,,,,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,,,,,,,,,,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,,,,,,,,,,,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,,,,,,,,,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,12,,241.26181318490882,,,,,,,,,,384,,,
11:00:00.000+05:30,11:15:00.000+05:30,14,,274.6632356432162,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,438,,,
11:15:00.000+05:30,11:30:00.000+05:30,,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,8,,151.5651756604582,,,,,,,,,,241,,,
12:00:00.000+05:30,12:15:00.000+05:30,15,,282.4406966594823,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,450,,,
12:15:00.000+05:30,12:30:00.000+05:30,,,16.643968988653302,,,,,,,,,,27,,,
12:30:00.000+05:30,12:45:00.000+05:30,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,,,,,,,,,,,,,,,
